horizon,symbol,entry_time,exit_time,entry_price,target,initial_sl,exit_price,qty,outcome,pnl,r_multiple,p_entry,kelly_f,atr,features_json,pnl_net,r_net
short_term,SBIN,2024-06-03T09:45:00+05:30,2024-06-03T10:16:00+05:30,867.65,889.8979770571128,856.5260114714436,889.8979770571128,1123.0,PROFIT,24984.47823513773,2.0,0.7639684212086247,0.05,7.4159923523709645,"{""structure"": 0.9831623818415755, ""value"": 0.9672625308686769, ""vol_anom"": 0.9661894036212391, ""mom_t"": 0.4861783491372664, ""vratio"": -0.5101328926735165, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.48773483176615323, ""accel"": 0.32194163582864765, ""align"": -0.013215694676072035, ""mom_l"": 0.5265103306510581, ""mom_v"": 0.4861783491372664}",23035.736335137728,1.8440037945431795
short_term,RELIANCE,2024-06-03T14:15:00+05:30,2024-06-04T09:15:00+05:30,1507.4,1538.0163835144153,1492.0918082427925,1492.0918082427925,816.0,LOSS,-12491.48447388142,-1.0,0.7137861883302249,0.05,10.205461171471741,"{""structure"": 0.9991367191338189, ""value"": 0.9587608003767866, ""vol_anom"": 0.03984709222810675, ""mom_t"": 0.7386683227321953, ""vratio"": 0.15106340264905496, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.03315836964794809, ""accel"": 0.22998166218753704, ""align"": -0.02699305455638605, ""mom_l"": 0.331616438403043, ""mom_v"": 0.03775884324184428}",-14951.561273881422,-1.1969403080269445
short_term,HDFCBANK,2024-06-03T09:45:00+05:30,2024-06-04T09:15:00+05:30,782.5,800.2289402706048,773.6355298646976,773.6355298646976,1410.0,LOSS,-12498.90289077644,-1.0,0.7536889388348902,0.05,5.909646756868271,"{""structure"": 0.9997358679396439, ""value"": 0.939040489601725, ""vol_anom"": 0.8313482620163514, ""mom_t"": 0.5028792023453033, ""vratio"": -0.2710134649183101, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.31011635790386943, ""accel"": 0.19385261777213977, ""align"": 0.07205293447631737, ""mom_l"": 0.7664118860964987, ""mom_v"": 0.5028792023453033}",-14705.55289077644,-1.1765474953508437
short_term,SBIN,2024-06-03T12:16:00+05:30,2024-06-04T09:15:00+05:30,899.45,924.9381423464735,886.7059288267633,886.7059288267633,980.0,LOSS,-12489.189749772027,-1.0,0.7873087215257265,0.05,8.496047448824473,"{""structure"": 0.9994752001058363, ""value"": 0.9988844348148781, ""vol_anom"": 0.059146030304284496, ""mom_t"": 0.7089310225197241, ""vratio"": 0.1927317861525812, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.33810757386975077, ""accel"": 0.33990756487445895, ""align"": -0.013215694676072035, ""mom_l"": 0.6756879161578805, ""mom_v"": 0.05235934309789986}",-14252.111749772028,-1.1411558343912727
short_term,ICICIBANK,2024-06-04T09:15:00+05:30,2024-06-04T09:16:00+05:30,1164.9,1190.3822726531787,1152.1588636734107,1152.1588636734107,981.0,LOSS,-12499.054736384214,-1.0,0.7560159079747272,0.05,8.49409088439287,"{""structure"": 0.9771221284786217, ""value"": 0.9428360515241447, ""vol_anom"": -0.026467114214132788, ""mom_t"": 0.7282174848065117, ""vratio"": 0.19931721061360788, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": 0.11637627974751788, ""accel"": 0.15687489188357553, ""align"": 0.10764222010820326, ""mom_l"": 0.49209789488824773, ""mom_v"": 0.0}",-14784.588536384214,-1.1828565318101143
swing,SBIN,2024-06-04T09:15:00+05:30,2024-06-04T09:16:00+05:30,905.65,992.9982530493484,861.9758734753258,861.9758734753258,228.0,LOSS,-9957.700847625716,-1.0,0.8863840714120431,0.05,21.837063262337104,"{""structure"": 0.9999996443205595, ""value"": 0.9976520278700224, ""vol_anom"": 0.9197657969402515, ""mom_t"": 0.5418856804550138, ""vratio"": -0.07111694631336787, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.020066254554034945, ""accel"": 0.2556134437535126, ""align"": 0.6586001033796162, ""mom_l"": 0.7515856499405759, ""mom_v"": 0.5418856804550138}",-10370.677247625716,-1.0414730675604167
swing,ICICIBANK,2024-06-04T09:15:00+05:30,2024-06-04T10:44:00+05:30,1160.0,1250.8577612039148,1114.5711193980426,1114.5711193980426,220.0,LOSS,-9994.35373243063,-1.0,0.7201804437121837,0.05,22.71444030097873,"{""structure"": 0.998534894345661, ""value"": 0.938379551360207, ""vol_anom"": 0.7587242734843053, ""mom_t"": 0.10764222010820326, ""vratio"": -0.19506969347362574, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.36315135936948295, ""accel"": -0.05705877728777057, ""align"": 0.582690160528663, ""mom_l"": 0.5552497306851297, ""mom_v"": 0.10691605568008915}",-10504.75373243063,-1.051068834830591
short_term,RELIANCE,2024-06-10T09:45:00+05:30,2024-06-10T14:35:00+05:30,1486.4,1521.2404377886535,1468.9797811056735,1468.9797811056735,717.0,LOSS,-12490.296947232158,-1.0,0.7900211815582343,0.05,11.613479262884441,"{""structure"": 0.9878505453774897, ""value"": 0.6285912411558668, ""vol_anom"": 0.75425406667856, ""mom_t"": 0.7556792031147174, ""vratio"": -0.048244486191356344, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.06519398282633146, ""accel"": 0.3402632989266929, ""align"": 0.19764963954061499, ""mom_l"": 0.1697919665519516, ""mom_v"": 0.7482888379415277}",-14621.794547232159,-1.1706522758429967
short_term,RELIANCE,2024-06-28T09:45:00+05:30,2024-06-28T15:01:00+05:30,1551.5,1583.3653137583615,1535.5673431208193,1567.722785934016,784.0,TRAILED,12718.664172268524,1.0182097095942828,0.7440952383516871,0.05,10.621771252787182,"{""structure"": 0.9993184823829843, ""value"": 0.9960877658863988, ""vol_anom"": 0.8274037094509291, ""mom_t"": 0.6676140868875226, ""vratio"": -0.0480792013838803, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.1450393874326357, ""accel"": -0.22912368989843668, ""align"": 0.25645991418095754, ""mom_l"": 0.5669663258165254, ""mom_v"": 0.6676140868875226}",10285.912172268523,0.8234524871466757
swing,HDFCBANK,2024-06-20T09:15:00+05:30,2024-07-03T09:15:00+05:30,828.9,893.7413862325396,796.4793068837301,895.5,308.0,PROFIT,20512.800000000007,2.05424355861713,0.7910627671062588,0.05,16.210346558134923,"{""structure"": 0.9971305059815739, ""value"": 0.7963026506350307, ""vol_anom"": 0.7578755890337763, ""mom_t"": 0.6080964077459519, ""vratio"": -0.16870788094840541, ""flow"": 0.0, ""pcr"": 0.0, ""vrp"": 0.0, ""maturity"": -0.18040609480453287, ""accel"": 0.31461147316768756, ""align"": 0.4479703277169532, ""mom_l"": 0.3858335642572354, ""mom_v"": 0.6041689277559084}",20002.197600000007,2.003109550036417
